"Date","Label","Inflow","Outflow","Net","Balance"
"2026-04-01","01.04","296820,38","148296,54","148523,84","1444812,32"
"2026-04-02","02.04","175540,7","54239,24","121301,46","1566113,78"
"2026-04-03","03.04","18392,72","78977,36","-60584,64","1505529,14"
"2026-04-05","05.04","0","1888,2","-1888,2","1503640,94"
"2026-04-06","06.04","4365937,01","4580803,68","-214866,67","1288774,27"
"2026-04-07","07.04","206107,64","30861,65","175245,99","1464020,26"
"2026-04-08","08.04","238129,76","131607,68","106522,08","1570542,34"
"2026-04-09","09.04","144359,8","477134,68","-332774,88","1237767,46"
"2026-04-10","10.04","140353,05","63092,16","77260,89","1315028,35"
"2026-04-12","12.04","31595,44","4121,14","27474,3","1342502,65"
"2026-04-13","13.04","128517,59","81493,79","47023,8","1389526,45"
"2026-04-14","14.04","118469,48","21916,94","96552,54","1486078,99"
"2026-04-15","15.04","166434,45","99352,79","67081,66","1553160,65"
"2026-04-16","16.04","80588,98","233617,47","-153028,49","1400132,16"
"2026-04-17","17.04","627219,62","534880,41","92339,21","1492471,37"
"2026-04-18","18.04","47424,16","6185,76","41238,4","1533709,77"
"2026-04-19","19.04","0","864","-864","1532845,77"
"2026-04-20","20.04","262743,43","754474,81","-491731,38","1041114,39"
"2026-04-21","21.04","74219,1","44440,3","29778,8","1070893,19"
"2026-04-22","22.04","127037,35","125907,02","1130,33","1072023,52"
"2026-04-23","23.04","211524,65","31637,27","179887,38","1251910,9"
"2026-04-24","24.04","10326255,18","204656,27","10121598,91","11373509,81"
"2026-04-25","25.04","55890","9824,4","46065,6","11419575,41"
"2026-04-26","26.04","0","4686","-4686","11414889,41"
